approach,model,target,metric_type,MSE,RMSE,MAE,MAPE,SMAPE,R2,LOG_R2,accuracy,precision_macro,recall_macro,f1_macro,source_file,notes
Two-Stage Job-Level XGBoost,TwoStage_JobLevel_XGBoost,interactive_count,,3.3333,1.8257,1.2639,103.1638,165.5269,-2.9563,,,,,,archive\forecasting_old_experiments\metrics_backup\two_stage_job_level_metrics_5min.csv,Hybrid approach using active windows and job-level XGBoost generation. Used before shifting to the final historical profile approach.
Two-Stage Job-Level XGBoost,JobLevel_Internal_XGBoost,cpu_request,,513.0948,22.6516,13.648,20.857,20.3833,0.6252,,,,,,archive\forecasting_old_experiments\metrics_backup\two_stage_job_level_internal_metrics_5min.csv,Hybrid approach using active windows and job-level XGBoost generation. Used before shifting to the final historical profile approach.
Two-Stage Job-Level XGBoost,JobLevel_Internal_XGBoost,memory_request,,13824.6679,117.5783,72.1591,24.58,23.6825,0.6036,,,,,,archive\forecasting_old_experiments\metrics_backup\two_stage_job_level_internal_metrics_5min.csv,Hybrid approach using active windows and job-level XGBoost generation. Used before shifting to the final historical profile approach.
Two-Stage Job-Level XGBoost,JobLevel_Internal_XGBoost,duration_minutes,,19982863.8967,4470.2197,1583.9702,358.4396,108.8056,-0.0538,,,,,,archive\forecasting_old_experiments\metrics_backup\two_stage_job_level_internal_metrics_5min.csv,Hybrid approach using active windows and job-level XGBoost generation. Used before shifting to the final historical profile approach.
Job-Level Workload Forecasting using Historical Profiles,JobLevel_HistoricalProfile,interarrival_minutes,regression,,7.8183,3.3196,716.1828,110.4202,-0.0899,-0.1818,,,,,outputs\final_job_level\job_level_model_summary.csv,"Final selected approach. Uses historical profiles based on role, app_name, and job_type to generate job-level capacity requirements."
Job-Level Workload Forecasting using Historical Profiles,JobLevel_HistoricalProfile,cpu_request,regression,,5.1049,0.6984,1.1321,0.9057,0.981,0.9959,,,,,outputs\final_job_level\job_level_model_summary.csv,"Final selected approach. Uses historical profiles based on role, app_name, and job_type to generate job-level capacity requirements."
Job-Level Workload Forecasting using Historical Profiles,JobLevel_HistoricalProfile,memory_request,regression,,28.4225,10.7263,3.727,3.518,0.9768,0.9947,,,,,outputs\final_job_level\job_level_model_summary.csv,"Final selected approach. Uses historical profiles based on role, app_name, and job_type to generate job-level capacity requirements."
Job-Level Workload Forecasting using Historical Profiles,JobLevel_HistoricalProfile,duration_minutes,regression,,4241.6899,1480.6147,271.353,79.4542,0.0517,0.6885,,,,,outputs\final_job_level\job_level_model_summary.csv,"Final selected approach. Uses historical profiles based on role, app_name, and job_type to generate job-level capacity requirements."
Job-Level Workload Forecasting using Historical Profiles,JobType_RoleApp_ProfileMode,job_type,classification,,,,,,,,0.8249,0.8322,0.7513,0.7736,outputs\final_job_level\job_level_model_summary.csv,"Final selected approach. Uses historical profiles based on role, app_name, and job_type to generate job-level capacity requirements."
Job-Level Workload Forecasting using Historical Profiles,JobLevel_HistoricalProfile,interarrival_minutes,,61.1258,7.8183,3.3196,716.1828,110.4202,-0.0899,-0.1818,,,,,outputs\final_job_level\job_level_regression_metrics.csv,"Final selected approach. Uses historical profiles based on role, app_name, and job_type to generate job-level capacity requirements."
Job-Level Workload Forecasting using Historical Profiles,JobLevel_HistoricalProfile,cpu_request,,26.0603,5.1049,0.6984,1.1321,0.9057,0.981,0.9959,,,,,outputs\final_job_level\job_level_regression_metrics.csv,"Final selected approach. Uses historical profiles based on role, app_name, and job_type to generate job-level capacity requirements."
