job_id,arrival_offset_seconds,job_type,required_cpu,required_memory,expected_duration_seconds,role,app_name
pred_000317,7608.0,interactive,64.0,320.0,852.37,cn,app_87
pred_000318,7632.0,interactive,64.0,320.0,832.86,cn,app_87
pred_000319,7656.0,interactive,64.0,320.0,845.42,cn,app_87
pred_000320,7680.0,interactive,64.0,320.0,846.13,cn,app_87
pred_000321,7704.0,interactive,64.0,320.0,807.66,cn,app_87
pred_000322,7728.0,interactive,64.0,320.0,801.2,cn,app_87
pred_000323,7752.0,interactive,64.0,320.0,782.86,cn,app_87
pred_000324,7776.0,interactive,64.0,320.0,794.67,cn,app_87
pred_000325,7800.0,interactive,64.0,320.0,795.33,cn,app_87
pred_000326,7824.0,interactive,64.0,320.0,787.75,cn,app_87
pred_000327,7848.0,interactive,64.0,320.0,791.23,cn,app_87
pred_000328,7872.0,interactive,64.0,320.0,773.11,cn,app_87
pred_000329,7896.0,interactive,64.0,320.0,791.02,cn,app_87
pred_000330,7920.0,interactive,64.0,320.0,785.43,cn,app_87
pred_000331,7944.0,interactive,64.0,320.0,777.94,cn,app_87
pred_000332,7968.0,interactive,64.0,320.0,791.23,cn,app_87
pred_000333,7992.0,interactive,64.0,320.0,773.11,cn,app_87
pred_000334,8016.0,interactive,64.0,320.0,791.02,cn,app_87
pred_000335,8040.0,interactive,64.0,320.0,790.64,cn,app_87
pred_000336,8064.0,interactive,64.0,320.0,783.0,cn,app_87
pred_000337,8088.0,interactive,64.0,320.0,796.38,cn,app_87
pred_000338,8112.0,interactive,64.0,320.0,778.14,cn,app_87
pred_000339,8136.0,interactive,64.0,320.0,796.17,cn,app_87
pred_000340,8160.0,interactive,64.0,320.0,790.54,cn,app_87
pred_000341,8184.0,interactive,64.0,320.0,783.19,cn,app_87
pred_000342,8208.0,interactive,64.0,320.0,785.65,cn,app_87
pred_000343,8232.0,interactive,64.0,320.0,767.66,cn,app_87
pred_000344,8256.0,interactive,64.0,320.0,785.44,cn,app_87
pred_000345,8280.0,interactive,64.0,320.0,779.89,cn,app_87
pred_000346,8304.0,interactive,64.0,320.0,772.45,cn,app_87
pred_000347,8328.0,interactive,64.0,320.0,785.65,cn,app_87
pred_000348,8352.0,interactive,64.0,320.0,767.66,cn,app_87
pred_000349,8376.0,interactive,64.0,320.0,785.44,cn,app_87
pred_000350,8400.0,interactive,64.0,320.0,779.89,cn,app_87
pred_000351,8424.0,interactive,64.0,320.0,772.45,cn,app_87
pred_000352,8448.0,interactive,64.0,320.0,785.65,cn,app_87
pred_000353,8472.0,interactive,64.0,320.0,776.25,cn,app_87
pred_000354,8496.0,interactive,64.0,320.0,794.23,cn,app_87
pred_000355,8520.0,interactive,64.0,320.0,816.15,cn,app_87
pred_000356,8544.0,interactive,64.0,320.0,808.37,cn,app_87
pred_000357,8568.0,interactive,64.0,320.0,811.85,cn,app_87
pred_000358,8592.0,interactive,64.0,320.0,793.26,cn,app_87
pred_000359,8616.0,interactive,64.0,320.0,808.85,cn,app_87
pred_000360,8640.0,interactive,64.0,320.0,803.14,cn,app_87
pred_000361,8664.0,interactive,64.0,320.0,795.48,cn,app_87
pred_000362,8688.0,interactive,64.0,320.0,809.07,cn,app_87
pred_000363,8712.0,interactive,64.0,320.0,790.54,cn,app_87
pred_000364,8736.0,interactive,64.0,320.0,808.85,cn,app_87
pred_000365,8760.0,interactive,64.0,320.0,803.14,cn,app_87
pred_000366,8784.0,interactive,64.0,320.0,795.48,cn,app_87
pred_000367,8808.0,interactive,64.0,320.0,811.42,cn,app_87
pred_000368,8832.0,interactive,64.0,320.0,792.84,cn,app_87
pred_000369,8856.0,interactive,64.0,320.0,811.2,cn,app_87
pred_000370,8880.0,interactive,64.0,320.0,805.47,cn,app_87
pred_000371,8904.0,interactive,64.0,320.0,797.79,cn,app_87
pred_000372,8928.0,interactive,64.0,320.0,811.42,cn,app_87
pred_000373,8952.0,interactive,64.0,320.0,792.84,cn,app_87
pred_000374,8976.0,interactive,64.0,320.0,811.2,cn,app_87
pred_000375,9000.0,interactive,64.0,320.0,805.47,cn,app_87
pred_000376,9024.0,interactive,64.0,320.0,797.79,cn,app_87
pred_000377,9048.0,interactive,64.0,320.0,811.42,cn,app_87
pred_000378,9072.0,interactive,64.0,320.0,792.84,cn,app_87
pred_000379,9096.0,interactive,64.0,320.0,811.2,cn,app_87
pred_000380,9120.0,interactive,64.0,320.0,825.76,cn,app_87
pred_000381,9144.0,interactive,64.0,320.0,817.89,cn,app_87
pred_000382,9168.0,interactive,64.0,320.0,831.86,cn,app_87
pred_000383,9192.0,interactive,64.0,320.0,812.81,cn,app_87
pred_000384,9216.0,interactive,64.0,320.0,836.5,cn,app_87
pred_000385,9240.0,interactive,64.0,320.0,825.76,cn,app_87
pred_000386,9264.0,interactive,64.0,320.0,817.89,cn,app_87
pred_000387,9288.0,interactive,64.0,320.0,831.86,cn,app_87
pred_000388,9312.0,interactive,64.0,320.0,812.81,cn,app_87
pred_000389,9336.0,interactive,64.0,320.0,836.5,cn,app_87
pred_000390,9360.0,interactive,64.0,320.0,825.76,cn,app_87
pred_000391,9384.0,interactive,64.0,320.0,817.89,cn,app_87
pred_000392,9408.0,interactive,64.0,320.0,836.49,cn,app_87
pred_000393,9432.0,interactive,64.0,320.0,817.33,cn,app_87
pred_000394,9456.0,interactive,64.0,320.0,841.16,cn,app_87
pred_000395,9480.0,interactive,64.0,320.0,830.35,cn,app_87
pred_000396,9504.0,interactive,64.0,320.0,822.44,cn,app_87
pred_000397,9528.0,interactive,64.0,320.0,833.3,cn,app_87
pred_000398,9552.0,interactive,64.0,320.0,814.22,cn,app_87
pred_000399,9576.0,interactive,64.0,320.0,837.96,cn,app_87
pred_000400,9600.0,interactive,64.0,320.0,827.56,cn,app_87
pred_000401,9624.0,interactive,64.0,320.0,819.66,cn,app_87
pred_000402,9648.0,interactive,64.0,320.0,803.17,cn,app_87
pred_000403,9672.0,interactive,64.0,320.0,784.78,cn,app_87
pred_000404,9696.0,interactive,64.0,320.0,807.65,cn,app_87
pred_000405,9720.0,interactive,64.0,320.0,785.99,cn,app_87
pred_000406,9744.0,interactive,64.0,320.0,778.5,cn,app_87
